identifier,id,formula,task,metal,ΔE [eV],V [Å³],p [µV/K],n [µV/K],v [µV/K],T [K],c [1/µm³],v [µV/K],T [K],c [1/µm³],p [1/fΩ/m/s],n [1/fΩ/m/s],p [GW/K²/m/s],n [GW/K²/m/s],v [1/fΩ/m/s],T [K],c [1/µm³],v [1/fΩ/m/s],T [K],c [1/µm³],v [GW/K²/m/s],T [K],c [1/µm³],v [GW/K²/m/s],T [K],c [1/µm³],p [GW/K/m/s],n [GW/K/m/s],v [GW/K/m/s],T [K],c [1/µm³],v [GW/K/m/s],T [K],c [1/µm³],functional,ε̄ [mₑ],ε₁ [mₑ],ε₂ [mₑ],ε₃ [mₑ],ε̄ [mₑ],ε₁ [mₑ],ε₂ [mₑ],ε₃ [mₑ]
mp-569594,5f8a3e77bab262f42dde67b6,Fe7Mo6,mp-943792,Yes,0.0,168.794,-15.3325,-15.3399,3.14871,100.0,100000000.0,,,,65169.6,65171.2,17.6288,17.6457,93396.0,1300.0,10000.0,,,,114.308,900.0,10000.0,,,,582879.0,582900.0,152462.0,100.0,100000000.0,,,,GGA,,,,,,,,
mp-31746,5f8a3e775f7a6814fc2df372,Li3Cr(PO4)2,mp-823416,No,1.9816,665.962,684.163,-672.622,1119.74,700.0,10000.0,-1078.85,600.0,10000.0,0.618841,0.218836,0.287584,0.100202,141.647,100.0,100000000.0,63.434,100.0,100000000.0,8.38827,100.0,100000000.0,4.18902,100.0,100000000.0,0.392811,0.0461518,0.00388913,300.0,10000.0,0.000177548,500.0,10000.0,GGA+U,56.5656,26.7537,61.8078,81.1353,1192.61,70.4097,113.633,3393.78
mp-772876,5f8a3e78bab262f42dde67bf,BaSr2I6,mp-861757,No,3.9536,1849.57,657.048,-531.103,1245.86,1300.0,10000.0,,,,5.67511,32.0655,2.41616,9.1233,1189.13,100.0,100000000.0,,,,36.2014,300.0,100000000.0,,,,22.3818,168.646,0.160171,900.0,10000.0,,,,GGA,9.11462,2.37826,8.02004,16.9456,0.913308,0.684033,0.970154,1.08574
mp-13453,5f8a3e78ac838c35c1892cb6,BePd3,mp-920458,Yes,0.0,107.713,-13.0385,-13.0349,-9.29336,100.0,100000000.0,-38.4861,1300.0,10000.0,507666.0,507742.0,85.9565,85.92,533609.0,1300.0,10000.0,535617.0,1300.0,100000000.0,756.227,1300.0,100000000.0,762.107,1300.0,100000000.0,3660790.0,3661090.0,1238270.0,100.0,100000000.0,1241510.0,100.0,10000.0,GGA,,,,,,,,
mp-754777,5f8a3e785f7a6814fc2df37b,NaLaO2,mp-756359,No,3.9295,65.9158,741.997,-391.877,1341.02,1300.0,10000.0,-1085.06,1300.0,10000.0,15.3106,58.6417,8.4724,8.99488,2123.25,100.0,100000000.0,5264.07,300.0,100000000.0,225.237,600.0,100000000.0,1121.38,700.0,100000000.0,99.049,332.663,0.487212,100.0,10000.0,1.20891,100.0,10000.0,GGA,2.01414,1.55033,1.55033,2.94177,0.482379,0.460821,0.460822,0.525494
mp-31980,5f8a3e79bab262f42dde67c8,LiMn(PO3)4,mp-839424,No,0.553003,482.589,609.595,-677.525,961.823,200.0,10000.0,,,,7.5104,4.69469,2.83298,2.17338,766.834,200.0,100000000.0,,,,46.093,600.0,100000000.0,,,,33.8493,10.7609,0.144828,100.0,10000.0,,,,GGA,4.53564,2.99225,2.99249,7.62217,9.77042,3.27668,7.0445,18.9901
mp-776680,5f8a3e79ac838c35c1892cbf,TiMn2Ni3(PO4)6,mp-902515,Yes,0.0,432.91,22.135,22.1224,64.8106,1300.0,10000.0,-22.3171,100.0,100000000.0,5533.96,5532.5,8.51097,8.5041,5814.41,500.0,100000000.0,5749.06,500.0,10000.0,24.7057,1300.0,10000.0,24.7057,1300.0,10000.0,42068.9,42061.7,12586.1,100.0,10000.0,12158.2,100.0,100000000.0,GGA+U,,,,,,,,
mp-23475,5f8a3e795f7a6814fc2df384,Rb2PbCl6,mp-659612,No,1.254,291.04,750.71,-406.283,1189.61,500.0,10000.0,-888.157,600.0,10000.0,10.7756,51.7734,6.07278,8.54602,1215.34,100.0,100000000.0,4527.8,200.0,100000000.0,147.526,600.0,100000000.0,743.657,900.0,100000000.0,43.8551,284.215,0.205056,100.0,10000.0,1.06441,100.0,10000.0,GGA,2.6151,2.6151,2.6151,2.6151,0.544284,0.544284,0.544284,0.544284
mp-24308,5f8a3e7abab262f42dde67d1,AlSiH9C3Cl2O,mp-860634,No,5.403,1011.91,772.059,-431.703,1225.33,1300.0,10000.0,,,,1.3851,47.9734,0.779285,8.95339,205.893,100.0,100000000.0,,,,18.6323,200.0,100000000.0,,,,2.36908,245.408,0.0170093,500.0,10000.0,,,,GGA,42.1631,12.646,17.232,96.6112,0.587787,0.56902,0.58826,0.606081
mp-769856,5f8a3e7aac838c35c1892cc8,Li4Fe3NiO8,mp-899550,Yes,0.0,148.893,35.6775,35.6602,128.318,1300.0,10000.0,10.6183,100.0,100000000.0,38442.6,38438.6,18.6386,18.6046,39081.1,600.0,100000000.0,38782.0,500.0,10000.0,446.384,1300.0,10000.0,446.383,1300.0,10000.0,290809.0,290745.0,93702.1,100.0,10000.0,93314.7,100.0,100000000.0,GGA+U,0.00194961,0.000514784,0.000514785,0.00481925,0.00195113,0.000514815,0.000514815,0.00482376
mp-770427,5f8a3e7a5f7a6814fc2df38d,BaLaCl5,mp-856588,No,3.955,886.219,723.152,-880.084,1252.58,1300.0,10000.0,-1347.03,1100.0,10000.0,5.73682,0.0475962,3.04721,0.0356652,812.122,100.0,100000000.0,11.007,100.0,100000000.0,62.3593,300.0,100000000.0,0.589081,100.0,100000000.0,18.1734,0.117765,0.152111,1300.0,10000.0,0.000615684,1000.0,10000.0,GGA,13.8433,1.98951,14.7583,24.782,1416.85,289.312,770.886,3190.37
mp-975050,5f8a3e7bbab262f42dde67da,Rb3Co,mp-975099,Yes,0.0,201.028,28.3674,28.3326,35.0076,400.0,100000000.0,,,,28204.3,28200.7,22.6963,22.6377,53036.6,1300.0,10000.0,,,,41.8838,500.0,100000000.0,,,,304090.0,304095.0,58621.0,100.0,10000.0,,,,GGA,,,,,,,,
mp-777480,5f8a3e7bac838c35c1892cd1,Li2Ti3MnO8,mp-815199,No,1.4443,303.114,660.443,-661.463,1105.62,500.0,10000.0,-1122.96,500.0,10000.0,8.57652,13.6018,3.75351,6.32066,1035.82,100.0,100000000.0,1469.24,100.0,100000000.0,62.9102,400.0,100000000.0,135.338,1000.0,100000000.0,33.8993,76.7105,0.19857,100.0,10000.0,0.328905,100.0,10000.0,GGA+U,3.29151,3.09791,3.38831,3.38831,8.68474,1.42352,1.42352,23.2072
mp-653429,5f8a3e7bbab262f42dde67e3,Mn7FeCl3O10,mp-931567,No,0.942099,563.14,724.216,-408.329,1136.05,400.0,10000.0,,,,3.58695,32.5856,1.88132,5.43308,560.227,100.0,100000000.0,,,,37.9781,300.0,100000000.0,,,,11.8913,185.023,0.105433,100.0,10000.0,,,,GGA+U,,,,,,,,
mp-557592,5f8a3e7b5f7a6814fc2df396,CrAg(PS3)2,mp-664639,No,0.917405,454.616,679.033,-608.352,1098.42,400.0,10000.0,-1005.66,300.0,10000.0,7.79296,10.8822,3.64007,4.49877,1143.55,100.0,100000000.0,1260.18,100.0,100000000.0,64.6938,400.0,100000000.0,144.459,900.0,100000000.0,32.4154,47.0232,0.25572,100.0,10000.0,0.268134,100.0,10000.0,GGA,4.07763,2.57586,3.62953,6.02752,17.3177,1.32003,2.63065,48.0024
mp-764716,5f8a3e7cac838c35c1892cda,Fe2OF3,mp-801343,No,1.5138,72.811,781.07,-793.244,1192.55,400.0,10000.0,-1228.23,500.0,10000.0,3.12162,0.716179,1.82938,0.453599,324.791,100.0,100000000.0,118.386,100.0,100000000.0,46.6294,800.0,100000000.0,13.6691,200.0,100000000.0,9.8251,1.53989,0.0364906,100.0,10000.0,0.0139537,200.0,10000.0,GGA+U,7209.97,3.02274,686.789,20940.1,47.7122,29.8496,33.0192,80.2676
mp-32379,5f8a3e7cbab262f42dde67ec,Li3Ni3(PO4)4,mp-945350,Yes,0.0,608.894,6.24797,6.27499,41.551,1300.0,10000.0,,,,2620.91,2620.83,1.49883,1.49994,3006.25,100.0,100000000.0,,,,4.48848,100.0,10000.0,,,,15611.7,15612.5,6233.22,100.0,100000000.0,,,,GGA,,,,,,,,
mp-10367,5f8a3e7c5f7a6814fc2df39f,HfSbRh,mp-926410,Yes,0.0,68.3101,4.29897,4.29985,19.3921,1300.0,10000.0,-2.96611,100.0,10000.0,646247.0,646223.0,11.9434,11.9478,647417.0,300.0,100000000.0,648486.0,100.0,100000000.0,236.006,1300.0,10000.0,236.005,1300.0,10000.0,4701560.0,4701350.0,1574720.0,100.0,10000.0,1559070.0,100.0,100000000.0,GGA,,,,,,,,
mp-758957,5f8a3e7dbab262f42dde67f5,As2HPbF13,mp-853586,No,4.5547,1957.9,785.575,-531.399,1314.1,1300.0,10000.0,,,,0.178375,19.7092,0.110017,5.85646,38.7711,100.0,100000000.0,,,,3.3805,100.0,100000000.0,,,,0.783619,102.271,0.00268685,100.0,10000.0,,,,GGA,190.734,98.7009,185.78,287.721,2.01838,0.961814,1.25286,3.84045
mp-541438,5f8a3e7dac838c35c1892ce3,Rb2MnO4,mp-701472,No,0.512799,545.341,642.638,-616.882,996.426,200.0,10000.0,-961.307,200.0,10000.0,4.58402,4.75005,1.95472,1.85803,579.124,100.0,100000000.0,628.057,100.0,100000000.0,31.0728,400.0,100000000.0,29.8076,400.0,100000000.0,18.4615,19.0708,0.107004,100.0,10000.0,0.129259,100.0,10000.0,GGA+U,9.77828,2.99524,11.564,14.7756,7.11191,4.28648,5.34961,11.6996
mp-559833,5f8a3e7d5f7a6814fc2df3a8,Na2YC(OF)3,mp-692080,No,5.26099,1006.0,737.989,-454.137,1201.66,1300.0,10000.0,-1074.24,1300.0,10000.0,0.829121,39.9581,0.454054,8.33878,247.231,100.0,100000000.0,4067.66,100.0,100000000.0,16.0244,100.0,100000000.0,482.009,400.0,100000000.0,0.750535,211.797,0.00566216,400.0,10000.0,0.676041,100.0,10000.0,GGA,,,,,,,,
mp-773194,5f8a3e7ebab262f42dde67fe,Li4Mn5V3O16,mp-813027,No,0.609794,283.331,633.666,-630.357,996.017,200.0,10000.0,,,,5.05752,5.37467,2.1324,2.09902,552.773,1300.0,100000000.0,,,,44.0683,700.0,100000000.0,,,,22.5543,18.1094,0.086738,100.0,10000.0,,,,GGA+U,9.86637,2.85501,7.31559,19.4285,6.97872,3.07843,6.18502,11.6727
mp-764443,5f8a3e7eac838c35c1892cec,Li4Mn3Fe3(WO8)2,mp-800843,Yes,0.0,307.42,-4.81372,-4.80817,-1.72251,100.0,10000.0,-51.3873,1300.0,10000.0,9569.03,9569.57,5.21284,5.20703,9676.24,100.0,10000.0,9686.12,100.0,100000000.0,21.6309,1300.0,100000000.0,22.2282,1300.0,100000000.0,66478.7,66486.2,22859.3,100.0,100000000.0,22947.1,100.0,10000.0,GGA+U,0.00374674,0.0021778,0.00244893,0.00661349,0.00374664,0.00217804,0.00244826,0.0066136
mp-9761,5f8a3e7e5f7a6814fc2df3b1,ReO3,mp-924713,Yes,0.0,94.2776,-0.336845,-0.336042,0.561021,200.0,10000.0,-4.4161,1300.0,10000.0,207065.0,207064.0,0.0317312,0.0315433,209576.0,100.0,10000.0,209576.0,100.0,10000.0,5.82632,1300.0,10000.0,5.82632,1300.0,10000.0,1518070.0,1518130.0,500751.0,100.0,10000.0,500594.0,100.0,10000000.0,GGA,,,,,,,,
mp-753081,5f8a3e7ebab262f42dde6807,Li3(CuO)4,mp-894420,Yes,0.0,136.981,32.8631,32.8701,118.39,1300.0,10000.0,,,,27758.4,27755.0,35.6135,35.6263,28791.2,100.0,100000000.0,,,,284.123,1300.0,10000.0,,,,183166.0,183143.0,69756.9,100.0,10000.0,,,,GGA,0.00102357,0.000908387,0.00102811,0.00113422,0.00102369,0.000908554,0.00102822,0.00113428
mp-42190,5f8a3e7f5f7a6814fc2df3ba,K2NaTiOF5,mp-703705,No,3.9572,152.042,780.409,-775.45,1277.65,1300.0,10000.0,-1220.28,1200.0,10000.0,4.14401,1.16894,2.52935,0.74408,523.586,100.0,100000000.0,204.325,100.0,100000000.0,62.2213,400.0,100000000.0,17.0106,300.0,100000000.0,18.2616,1.80186,0.0734697,1200.0,10000.0,0.00283204,1000.0,10000.0,GGA,7.49379,4.59751,8.93868,8.94517,553.168,16.1476,16.1542,1627.2
mp-571350,5f8a3e7fac838c35c1892cf5,Ba(AsPd)2,mp-920817,Yes,0.0,217.128,-2.97611,-2.97617,-1.43218,100.0,10000.0,-18.1305,1300.0,100000000.0,217732.0,217716.0,58.1097,58.1468,232817.0,1300.0,10000.0,233144.0,1300.0,100000000.0,112.151,1300.0,10000.0,112.341,1300.0,100000000.0,1600020.0,1600000.0,528604.0,100.0,10000.0,525442.0,100.0,100000000.0,GGA,,,,,,,,
mp-707941,5f8a3e7fbab262f42dde6810,Na3H(SO4)2,mp-733708,No,5.1609,749.338,764.511,-418.971,1309.72,1300.0,10000.0,,,,0.289652,50.4224,0.173463,8.8515,65.1375,100.0,100000000.0,,,,5.12138,100.0,100000000.0,,,,0.632102,271.731,0.00477511,100.0,10000.0,,,,GGA,325.437,46.3701,124.544,805.397,0.559341,0.547313,0.548099,0.58261
mp-771077,5f8a3e80ac838c35c1892cfe,LiFeB2O5,mp-811783,No,2.517,366.578,664.03,-751.176,1157.1,900.0,10000.0,-1222.68,800.0,10000.0,8.66067,1.87447,3.94376,1.06059,932.512,100.0,100000000.0,359.184,100.0,100000000.0,77.8735,500.0,100000000.0,13.0512,300.0,100000000.0,39.6534,4.13707,0.18492,100.0,10000.0,0.0344037,700.0,10000.0,GGA+U,6.90558,1.63316,4.11695,14.9666,20.3876,9.3917,15.2149,36.5562
mp-568030,5f8a3e805f7a6814fc2df3c3,Th(Al5Fe)2,mp-977950,Yes,0.0,414.378,-7.86568,-7.84553,-4.59836,100.0,10000.0,-12.791,1300.0,100000000.0,68158.1,68165.2,28.7594,28.6853,70013.5,1300.0,10000.0,70257.2,100.0,100000000.0,56.4094,800.0,10000.0,56.4095,800.0,1000000.0,477605.0,477619.0,164873.0,100.0,100000000.0,165514.0,100.0,10000.0,GGA,,,,,,,,
mp-9383,5f8a3e80bab262f42dde6819,SrHfN2,mp-923947,No,0.329203,57.7874,471.888,-456.858,779.666,200.0,10000.0,,,,53.1924,102.796,11.8967,21.4565,6476.63,1300.0,10000.0,,,,248.112,900.0,100000000.0,,,,396.218,602.257,0.946853,100.0,10000.0,,,,GGA,,,,,,,,
mp-764217,5f8a3e805f7a6814fc2df3cc,Li5VO4F,mp-854089,No,1.8622,226.973,714.504,-722.537,1166.73,700.0,10000.0,-1155.12,600.0,10000.0,2.36096,2.82308,1.21596,1.4582,344.085,100.0,100000000.0,434.922,100.0,100000000.0,24.2576,400.0,100000000.0,27.7475,300.0,100000000.0,9.68463,8.12044,0.0497107,600.0,10000.0,0.034129,600.0,10000.0,GGA+U,13.4771,9.17223,10.6645,20.5947,20.344,5.35541,10.9324,44.7441
mp-853142,5f8a3e80ac838c35c1892d07,Li4Co2OF7,mp-857317,No,1.29089,149.523,769.168,-734.579,1207.21,500.0,10000.0,-1138.56,400.0,10000.0,3.50915,0.614399,1.85519,0.329342,423.226,100.0,100000000.0,154.137,100.0,100000000.0,38.3096,400.0,100000000.0,8.66321,100.0,100000000.0,11.1153,0.408352,0.0625765,100.0,10000.0,0.0025271,400.0,10000.0,GGA+U,259.374,3.07014,21.4861,753.566,83.1504,29.1714,39.045,181.235
mp-16988,5f8a3e81bab262f42dde6822,SrCu2SnS4,mp-992360,No,0.398402,543.884,531.196,-224.386,870.399,200.0,10000.0,,,,24.3577,202.703,6.84338,10.2427,2451.23,100.0,100000000.0,,,,122.369,800.0,100000000.0,,,,128.939,1172.07,0.547431,100.0,10000.0,,,,GGA,,,,,,,,
mp-542904,5f8a3e81bab262f42dde682b,Mn2ZnH12(NO2)4,mp-848890,No,1.49961,292.827,847.435,-769.227,1248.4,400.0,10000.0,,,,0.0824174,1.24438,0.0591878,0.736311,25.9882,100.0,100000000.0,,,,4.43542,100.0,100000000.0,,,,0.0179984,1.35868,0.000100027,400.0,10000.0,,,,GGA+U,341.911,341.911,341.911,341.911,22.6454,22.6454,22.6454,22.6454
mp-5889,5f8a3e815f7a6814fc2df3d5,Er2Ti2O7,mp-691473,No,2.7098,258.998,713.448,-606.655,1218.2,1000.0,10000.0,-1245.49,1000.0,10000.0,21.5828,21.0392,10.9858,7.74305,2308.15,100.0,100000000.0,2371.15,100.0,100000000.0,269.136,600.0,100000000.0,206.703,400.0,100000000.0,112.015,124.89,0.443162,100.0,10000.0,0.556792,100.0,10000.0,GGA,1.30564,1.30564,1.30564,1.30564,1.33938,1.33938,1.33938,1.33938
mp-565329,5f8a3e82ac838c35c1892d10,K2NaFeO3,mp-819657,No,2.1975,238.355,628.926,-640.27,1143.36,800.0,10000.0,-1143.75,900.0,10000.0,9.47385,15.0574,3.68575,6.22129,1079.82,100.0,100000000.0,1601.95,100.0,100000000.0,65.6455,600.0,100000000.0,193.605,1300.0,100000000.0,53.5758,64.3093,0.29767,100.0,10000.0,0.281382,100.0,10000.0,GGA+U,3.2084,2.0966,3.67152,3.8571,9.83293,0.699082,8.03776,20.762
mp-20903,5f8a3e82bab262f42dde6834,PrIn3,mp-930037,Yes,0.0,107.144,13.496,13.5053,16.2357,600.0,10000.0,,,,629874.0,629748.0,114.726,114.861,659098.0,100.0,100000000.0,,,,162.612,600.0,10000.0,,,,4481730.0,4481320.0,1560770.0,100.0,100000000.0,,,,GGA,,,,,,,,
mp-559010,5f8a3e825f7a6814fc2df3de,Sb2OsC4(OF3)4,mp-742528,No,3.6739,1570.66,737.027,-653.953,1184.41,1100.0,10000.0,-1131.79,1300.0,10000.0,0.079716,3.21207,0.0429453,1.37077,22.8971,100.0,100000000.0,597.345,100.0,100000000.0,2.43088,100.0,100000000.0,64.5637,100.0,100000000.0,0.00710141,7.27734,6.98402e-05,400.0,10000.0,0.0455939,800.0,10000.0,GGA,2158.42,167.311,427.406,5880.55,10.6562,6.30055,7.87063,17.7973
mp-566393,5f8a3e82ac838c35c1892d19,KVH6SO9,mp-679475,No,2.9131,396.134,798.294,-733.841,1284.1,900.0,10000.0,-1184.68,1000.0,10000.0,0.750069,4.47009,0.47658,2.6289,147.596,100.0,100000000.0,470.466,100.0,100000000.0,15.8556,100.0,100000000.0,86.3714,700.0,100000000.0,1.53131,15.5584,0.0138307,200.0,10000.0,0.0812967,100.0,10000.0,GGA+U,43.222,26.6075,36.7938,66.2646,28.9243,2.36687,28.055,56.3509
mp-757206,5f8a3e83bab262f42dde683d,BaTi6O12,mp-879562,Yes,0.0,469.237,8.70757,8.70303,28.2443,100.0,10000.0,,,,13886.1,13884.1,1.54095,1.53963,14334.5,100.0,100000000.0,,,,45.5961,1300.0,100000000.0,,,,105227.0,105254.0,31528.5,100.0,10000.0,,,,GGA,0.0025328,0.00116783,0.00321529,0.00321529,0.00253311,0.00116802,0.00321566,0.00321566
mp-555901,5f8a3e835f7a6814fc2df3e7,KCuCO3F,mp-923791,Yes,0.0,189.268,22.4708,22.4861,55.2453,1300.0,10000.0,8.70407,100.0,10000.0,79583.1,79576.3,16.8818,16.8915,82913.1,100.0,10000000.0,82847.0,100.0,10000.0,97.6413,1300.0,10000.0,97.6409,1300.0,10000.0,571391.0,571338.0,184353.0,100.0,10000000.0,184463.0,100.0,10000.0,GGA,,,,,,,,
mp-24928,5f8a3e83ac838c35c1892d22,K2Cr2Cd(H2O5)2,mp-842929,Yes,0.0,260.391,-1.6682,-1.66146,1.01009,1300.0,100000000.0,-4.99858,500.0,10000.0,22275.9,22279.5,13.6284,13.6397,22557.1,800.0,10000.0,22656.0,700.0,100000000.0,19.3779,700.0,100000000.0,19.6929,700.0,100000000.0,165353.0,165366.0,53268.2,100.0,100000000.0,53543.1,100.0,10000.0,GGA+U,0.00231582,0.0005825,0.00254429,0.00382066,0.002316,0.000582338,0.00254481,0.00382086
mp-672225,5f8a3e84bab262f42dde6846,BaZn13,mp-943740,Yes,0.0,477.04,-9.4637,-9.43797,-5.09004,100.0,10000.0,,,,260939.0,260996.0,23.3701,23.2483,273911.0,100.0,10000.0,,,,157.399,1200.0,100000000.0,,,,1822320.0,1822730.0,641582.0,100.0,10000.0,,,,GGA,,,,,,,,
mp-734042,5f8a3e845f7a6814fc2df3f0,MgH12(NO6)2,mp-844127,No,3.5073,521.795,749.761,-786.021,1249.07,1100.0,10000.0,-1222.57,1100.0,10000.0,0.773736,1.21302,0.447551,0.746282,196.186,100.0,100000000.0,210.975,100.0,100000000.0,14.8786,100.0,100000000.0,16.0514,200.0,100000000.0,1.18266,2.58644,0.00823562,800.0,10000.0,0.00961427,1100.0,10000.0,GGA,106.804,18.2936,41.9015,260.216,30.344,14.4402,24.5968,51.995
mp-3040,5f8a3e84ac838c35c1892d2b,TbCo3B2,mp-920350,Yes,0.0,65.7031,-5.18222,-5.18053,-4.35856,200.0,100000000.0,-7.53738,1300.0,10000.0,384576.0,384585.0,6.09037,6.08389,386138.0,200.0,10000.0,386902.0,200.0,100000000.0,56.1925,1300.0,100000000.0,56.2796,1300.0,100000000.0,2736320.0,2736360.0,961961.0,100.0,10000.0,955985.0,100.0,100000000.0,GGA,,,,,,,,
