identifier,id,formula,task,metal,ΔE [eV],V [Å³],p [µV/K],n [µV/K],v [µV/K],T [K],c [1/µm³],v [µV/K],T [K],c [1/µm³],p [1/fΩ/m/s],n [1/fΩ/m/s],p [GW/K²/m/s],n [GW/K²/m/s],v [1/fΩ/m/s],T [K],c [1/µm³],v [1/fΩ/m/s],T [K],c [1/µm³],v [GW/K²/m/s],T [K],c [1/µm³],v [GW/K²/m/s],T [K],c [1/µm³],p [GW/K/m/s],n [GW/K/m/s],v [GW/K/m/s],T [K],c [1/µm³],v [GW/K/m/s],T [K],c [1/µm³],functional,ε̄ [mₑ],ε₁ [mₑ],ε₂ [mₑ],ε₃ [mₑ],ε̄ [mₑ],ε₁ [mₑ],ε₂ [mₑ],ε₃ [mₑ]
mp-556437,5f8a3e84bab262f42dde684f,Gd10S14O,mp-736380,No,1.26781,2138.64,540.899,-821.338,1000.63,500.0,10000.0,,,,17.162,0.0530843,4.82229,0.035686,1847.34,100.0,100000000.0,,,,46.6313,600.0,100000000.0,,,,79.0022,0.102967,0.592413,100.0,10000.0,,,,GGA,1.83398,1.08527,2.20831,2.20836,632.318,321.249,787.851,787.856
mp-631320,5f8a3e85ac838c35c1892d34,TcIrOs,mp-869792,Yes,0.0,51.4094,-5.95128,-5.94996,8.97651,1300.0,100000000.0,-7.57779,500.0,10000.0,374590.0,374606.0,13.2671,13.2618,375404.0,200.0,10000.0,376483.0,200.0,100000000.0,30.0961,1300.0,100000000.0,30.0739,1300.0,100000000.0,2710110.0,2710190.0,926781.0,100.0,10000.0,925070.0,100.0,100000000.0,GGA,7.52273e-05,7.52273e-05,7.52273e-05,7.52273e-05,7.52241e-05,7.52241e-05,7.52241e-05,7.52241e-05
mp-979956,5f8a3e855f7a6814fc2df3f9,Yb3Mg,mp-1005879,Yes,0.0,142.149,-14.4068,-14.4219,-4.53748,1300.0,100000000.0,-15.3444,400.0,100000000.0,180063.0,180081.0,37.373,37.4555,221841.0,1300.0,10000.0,222046.0,1300.0,100000000.0,40.9793,500.0,10000.0,40.9793,500.0,10000.0,1487690.0,1487690.0,444018.0,100.0,100000000.0,445026.0,100.0,100000000.0,GGA,,,,,,,,
mp-768254,5f8a3e85bab262f42dde6858,Gd3AsO7,mp-855540,No,2.2214,572.44,569.684,-413.186,1106.58,900.0,10000.0,,,,12.2187,31.2628,4.01794,5.31969,1256.42,300.0,100000000.0,,,,86.7322,800.0,100000000.0,,,,69.0497,182.421,0.225042,100.0,10000.0,,,,GGA,3.15919,1.37456,2.54129,5.56173,0.974805,0.632014,1.1172,1.1752
mp-25058,5f8a3e865f7a6814fc2df402,KMoP2O7,mp-822155,No,3.85881,642.49,617.493,-422.516,1140.08,1300.0,10000.0,-1188.22,1300.0,10000.0,7.24073,26.7635,2.77,4.99306,792.65,100.0,100000000.0,1688.75,100.0,100000000.0,46.8066,700.0,100000000.0,72.1142,400.0,100000000.0,34.7044,214.819,0.183542,100.0,10000.0,0.393262,1200.0,10000.0,GGA+U,4.9702,3.00327,3.08083,8.82652,1.10185,0.885456,0.9711,1.44899
mp-775960,5f8a3e86ac838c35c1892d3d,Li4V5Sb3O16,mp-814584,No,0.716802,326.423,632.468,-678.297,1026.33,300.0,10000.0,-1065.95,300.0,10000.0,11.8977,4.07482,5.06223,1.83173,1312.7,100.0,100000000.0,614.195,1300.0,10000.0,99.495,800.0,100000000.0,45.9519,1300.0,10000.0,47.7302,13.6514,0.211545,100.0,10000.0,0.0707387,100.0,10000.0,GGA+U,36.332,0.911501,6.26055,101.824,19.9116,3.07666,11.5456,45.1124
mp-2391,5f8a3e86bab262f42dde6861,YbPd3,mp-929941,Yes,0.0,68.1008,-2.94262,-2.94267,0.809719,100.0,100000000.0,,,,396215.0,396220.0,3.43084,3.43099,418515.0,1300.0,10000.0,,,,26.9627,1300.0,10000.0,,,,2927810.0,2927880.0,980578.0,100.0,100000000.0,,,,GGA,,,,,,,,
mp-29654,5f8a3e875f7a6814fc2df40b,B9H11,mp-732678,No,2.91179,1517.3,638.975,-658.676,1117.91,1100.0,10000.0,-1120.84,1000.0,10000.0,6.76471,4.0133,2.7845,1.74619,845.981,100.0,100000000.0,642.117,100.0,100000000.0,39.89,300.0,100000000.0,22.8167,300.0,100000000.0,23.5178,10.4924,0.0546741,1000.0,10000.0,0.0265783,900.0,10000.0,GGA,4.64497,2.95103,4.32752,6.65636,7.26296,6.01064,6.56281,9.21542
mp-12383,5f8a3e87bab262f42dde686a,Sc2Te3,mp-990486,Yes,0.0,607.133,-10.0491,-10.0769,11.1179,1300.0,100000000.0,,,,22471.2,22493.3,9.43733,9.48287,34433.7,1300.0,100000000.0,,,,31.8617,1100.0,10000.0,,,,173660.0,173774.0,52765.0,100.0,100000000.0,,,,GGA,,,,,,,,
mp-559270,5f8a3e87ac838c35c1892d46,RbBa4Sb3O,mp-704256,No,0.951895,689.718,557.94,-685.644,995.961,400.0,10000.0,-1101.57,400.0,10000.0,24.1768,30.6377,7.91178,14.7879,2575.41,100.0,100000000.0,3382.58,100.0,100000000.0,122.022,600.0,100000000.0,255.182,1000.0,100000000.0,135.171,116.706,0.618145,100.0,10000.0,0.735251,100.0,10000.0,GGA,1.89978,0.861093,0.861241,3.977,2.2339,0.649532,0.650616,5.40156
mp-19879,5f8a3e88bab262f42dde6873,PPd3,mp-924299,Yes,0.0,240.636,0.0179957,0.0180512,0.820713,200.0,100000000.0,,,,239914.0,239914.0,9.96275,9.96439,239918.0,300.0,100000000.0,,,,92.3089,1300.0,100000000.0,,,,1748210.0,1748280.0,590371.0,100.0,10000.0,,,,GGA,,,,,,,,
mp-764864,5f8a3e885f7a6814fc2df414,LiFe2(BO3)2,mp-801507,No,0.799103,484.073,655.047,-711.95,1049.42,200.0,10000.0,-1109.26,300.0,10000.0,0.0123368,0.369179,0.00530994,0.199162,14.772,1300.0,10000.0,63.2716,100.0,100000000.0,2.10041,1300.0,10000.0,3.96859,100.0,100000000.0,0.000768519,1.03012,6.54424e-06,200.0,10000.0,0.0055391,100.0,10000.0,GGA+U,4623.41,1064.29,3807.13,8998.82,364.26,36.7997,90.1422,965.837
mp-704943,5f8a3e88ac838c35c1892d4f,Li2Mn3ZnO8,mp-823377,No,1.5501,567.809,752.297,-544.294,1182.27,500.0,10000.0,-1028.6,700.0,10000.0,1.58386,19.7381,0.896386,5.84753,285.084,100.0,100000000.0,2110.83,100.0,100000000.0,21.4982,100.0,100000000.0,255.889,400.0,100000000.0,4.54367,99.3302,0.0325532,100.0,10000.0,0.296564,100.0,10000.0,GGA+U,17.7916,17.7916,17.7916,17.7916,1.42767,1.42767,1.42767,1.42767
mp-19113,5f8a3e88bab262f42dde687c,CoTeO3,mp-819466,No,2.1353,243.664,642.106,-506.795,1183.04,900.0,10000.0,,,,11.2562,19.0305,4.50929,4.93257,1319.84,100.0,100000000.0,,,,123.043,800.0,100000000.0,,,,79.5677,83.2529,0.21153,100.0,10000.0,,,,GGA+U,2.95729,1.6811,2.58956,4.60121,1.67,0.986486,1.74239,2.28113
mp-567306,5f8a3e895f7a6814fc2df41d,Li3Ga7,mp-943790,Yes,0.0,370.466,-9.06134,-9.04651,19.882,100.0,10000.0,-31.1184,1300.0,10000.0,165783.0,165789.0,19.1732,19.1613,182457.0,100.0,100000000.0,172158.0,100.0,10000.0,147.15,1300.0,10000.0,149.074,1300.0,100000000.0,1161340.0,1161770.0,392772.0,100.0,100000000.0,404641.0,100.0,10000.0,GGA,,,,,,,,
mp-10125,5f8a3e89ac838c35c1892d58,SbIr,mp-925732,Yes,0.0,80.0385,0.86749,0.868729,2.63189,100.0,100000000.0,0.521406,400.0,10000.0,833425.0,833409.0,6.54867,6.55566,837433.0,100.0,100000000.0,834531.0,200.0,10000.0,58.6718,1300.0,10000.0,58.6718,1300.0,10000.0,6063850.0,6063970.0,2042230.0,100.0,10000.0,2026450.0,100.0,100000000.0,GGA,,,,,,,,
mp-977176,5f8a3e89bab262f42dde6885,NaTcO3,mp-977210,Yes,0.0,58.2335,-1.22198,-1.22404,-0.778393,400.0,100000000.0,,,,599466.0,599478.0,0.895141,0.898188,600188.0,400.0,10000.0,,,,458.031,100.0,10000.0,,,,4412900.0,4412750.0,1482890.0,100.0,10000.0,,,,GGA,,,,,,,,
mp-743605,5f8a3e895f7a6814fc2df426,ZrCrCu2(PO4)3,mp-824223,No,0.995597,497.93,768.584,-667.762,1167.49,300.0,10000.0,-1079.33,400.0,10000.0,0.259166,2.02748,0.146753,0.870628,63.0938,100.0,100000000.0,417.487,100.0,100000000.0,6.30654,100.0,100000000.0,43.1457,100.0,100000000.0,0.169113,3.26804,0.00167162,300.0,10000.0,0.0334596,300.0,10000.0,GGA+U,192.617,54.5358,152.49,370.826,21.4235,7.399,18.2472,38.6241
mp-783909,5f8a3e89ac838c35c1892d61,Li2MnSiO4,mp-817446,No,2.8862,359.547,618.259,-333.815,1182.83,1100.0,10000.0,-942.508,1300.0,10000.0,10.8376,58.5281,3.99586,6.50597,1220.0,100.0,100000000.0,5312.49,500.0,100000000.0,62.4301,600.0,100000000.0,856.05,1300.0,100000000.0,50.9531,336.825,0.21121,100.0,10000.0,1.26498,100.0,10000.0,GGA+U,5.67471,1.12297,6.27217,9.62899,0.483545,0.443006,0.487989,0.519639
mp-560280,5f8a3e8abab262f42dde688e,TeC6(ClF7)2,mp-843490,No,3.33061,752.982,685.98,-743.435,1160.82,1200.0,10000.0,,,,1.45318,1.3955,0.778037,0.799891,213.824,100.0,100000000.0,,,,16.1908,300.0,100000000.0,,,,3.24329,2.54455,0.0296587,200.0,10000.0,,,,GGA,64.4535,8.4187,34.1382,150.804,467.843,7.46689,72.014,1324.05
mp-764165,5f8a3e8a5f7a6814fc2df42f,Li2TiMn2O6,mp-854233,No,1.0896,730.461,701.501,-640.808,1128.81,400.0,10000.0,-1068.96,400.0,10000.0,1.66941,5.35586,0.816129,2.23197,321.535,100.0,100000000.0,755.164,100.0,100000000.0,16.023,200.0,100000000.0,49.2281,400.0,100000000.0,4.40125,19.7569,0.0386835,200.0,10000.0,0.143786,100.0,10000.0,GGA+U,24.1291,8.7918,27.6537,35.9418,6.28712,3.36682,5.93084,9.5637
mp-3284,5f8a3e8aac838c35c1892d6a,CeSi2Pt,mp-920329,Yes,0.0,151.048,23.8283,23.8326,96.3101,1300.0,10000.0,7.05814,100.0,10000.0,63199.1,63193.6,46.4497,46.4487,111900.0,1300.0,100000000.0,111397.0,1300.0,10000.0,1116.74,1300.0,100000000.0,1115.2,1300.0,10000.0,449527.0,449469.0,151951.0,100.0,10000.0,151277.0,100.0,100000000.0,GGA,,,,,,,,
mp-754759,5f8a3e8bbab262f42dde6897,Y2O3,mp-859547,No,4.4426,149.703,833.598,-405.266,1355.04,1300.0,10000.0,,,,7.48034,53.6946,5.19895,8.8353,1149.5,100.0,100000000.0,,,,148.207,200.0,100000000.0,,,,24.0901,295.053,0.18298,100.0,10000.0,,,,GGA,3.801,3.31019,4.0464,4.04641,0.532645,0.445117,0.576408,0.576409
mp-979983,5f8a3e8bac838c35c1892d73,Cs3Yb,mp-980291,Yes,0.0,723.45,0.172705,0.204166,0.541675,400.0,10000.0,-13.9554,1300.0,10000.0,68608.2,68608.8,0.00256146,0.00314696,73212.8,100.0,10000.0,75131.5,100.0,100000000.0,15.2122,1300.0,100000000.0,15.3402,1300.0,100000000.0,461243.0,461218.0,166207.0,100.0,10000.0,162558.0,100.0,100000000.0,GGA,,,,,,,,
mp-765835,5f8a3e8b5f7a6814fc2df438,LiV5O7F,mp-898169,No,0.797702,152.74,648.88,-716.097,1046.21,300.0,10000.0,-1112.04,300.0,10000.0,10.2248,9.07651,4.29241,4.66123,1276.64,100.0,100000000.0,1032.58,100.0,100000000.0,71.7368,500.0,100000000.0,72.7881,600.0,100000000.0,44.9962,35.1157,0.248088,100.0,10000.0,0.15572,100.0,10000.0,GGA+U,3.0725,1.82716,3.69517,3.69518,3.16031,2.59437,3.44327,3.44328
mp-778873,5f8a3e8bbab262f42dde68a0,BaCe2O4,mp-903465,Yes,0.0,486.339,5.35862,5.35917,7.2862,100.0,100000000.0,,,,10320.4,10319.7,6.93956,6.93779,10457.1,400.0,100000000.0,,,,9.17492,1300.0,100000000.0,,,,74517.9,74519.8,24832.8,100.0,10000.0,,,,GGA,,,,,,,,
mp-764288,5f8a3e8cac838c35c1892d7c,Li3MnF6,mp-800620,No,1.8922,208.044,771.852,-772.635,1187.29,600.0,10000.0,-1192.48,500.0,10000.0,1.53705,1.19145,0.898936,0.720429,250.215,100.0,100000000.0,197.794,100.0,100000000.0,23.1629,200.0,100000000.0,19.732,200.0,100000000.0,2.72816,2.02946,0.0107165,600.0,10000.0,0.00927899,600.0,10000.0,GGA+U,39.3031,7.85618,54.8045,55.2486,785.718,8.44302,125.765,2222.95
mp-570597,5f8a3e8cbab262f42dde68a9,La2GeI2,mp-929794,No,0.377694,193.469,579.121,-518.982,989.846,100.0,10000.0,,,,24.4072,68.2866,11.3823,18.8778,11474.0,1300.0,10000.0,,,,275.758,400.0,100000000.0,,,,668.098,580.904,0.462303,100.0,10000.0,,,,GGA,,,,,,,,
mp-554699,5f8a3e8c5f7a6814fc2df441,GePbO3,mp-740973,No,2.71921,537.66,653.398,-498.592,1137.45,1000.0,10000.0,-1045.91,1200.0,10000.0,9.11685,41.4997,3.96734,10.3375,919.501,200.0,100000000.0,4158.54,100.0,100000000.0,91.595,900.0,100000000.0,353.333,900.0,100000000.0,38.5038,220.243,0.133647,100.0,10000.0,0.813501,100.0,10000.0,GGA,4.52798,1.56816,6.0079,6.0079,0.703711,0.529256,0.790939,0.790939
mp-542842,5f8a3e8dbab262f42dde68b2,KMnP3HO10,mp-745606,No,0.779402,450.986,671.573,-485.456,1068.26,300.0,10000.0,,,,5.40758,29.4786,2.49673,7.90652,547.791,300.0,100000000.0,,,,47.5694,500.0,100000000.0,,,,19.3387,128.223,0.0723961,100.0,10000.0,,,,GGA+U,24.2499,3.28915,3.89997,65.5607,39.8173,0.605333,0.67665,118.17
mp-8184,5f8a3e8dac838c35c1892d85,Li2ZnGeO4,mp-672816,No,3.1087,181.59,728.855,-381.621,1305.96,1100.0,10000.0,-976.962,1300.0,10000.0,6.00305,64.9206,3.18662,9.45741,868.359,100.0,100000000.0,6301.5,100.0,100000000.0,71.1607,400.0,100000000.0,1577.27,1300.0,100000000.0,32.6503,365.443,0.210119,1000.0,10000.0,1.18519,100.0,10000.0,GGA,6.04966,2.84889,5.32376,9.97635,0.434454,0.42375,0.426528,0.453083
mp-554288,5f8a3e8e5f7a6814fc2df44a,NaPH4O5,mp-663137,No,5.22869,455.136,779.874,-421.128,1284.77,1300.0,10000.0,-997.118,1300.0,10000.0,1.62581,52.5883,1.00228,9.32645,255.812,100.0,100000000.0,5843.67,100.0,100000000.0,25.9468,200.0,100000000.0,1182.67,1300.0,100000000.0,3.87385,279.893,0.0323388,500.0,10000.0,0.858853,100.0,10000.0,GGA,23.9925,9.1421,30.612,32.2234,0.535991,0.527926,0.531873,0.548175
mp-976128,5f8a3e8ebab262f42dde68bb,Hf5Sc,mp-976183,Yes,0.0,135.768,-5.06038,-5.06181,-1.42813,100.0,100000000.0,,,,202433.0,202438.0,16.362,16.3705,208502.0,1300.0,10000.0,,,,67.0531,900.0,10000.0,,,,1495150.0,1495220.0,501127.0,100.0,10000.0,,,,GGA,,,,,,,,
mp-772523,5f8a3e8fac838c35c1892d8e,Ba8LiTa7O24,mp-901231,Yes,0.0,576.874,-12.4937,-12.5555,-5.70737,100.0,100000000.0,-81.6307,1300.0,100000000.0,48461.0,48487.3,38.7081,38.6681,48475.4,200.0,10000.0,49789.5,300.0,100000000.0,283.353,1300.0,100000000.0,296.304,1300.0,100000000.0,337131.0,337320.0,112740.0,100.0,100000000.0,119983.0,100.0,10000.0,GGA,,,,,,,,
mp-973480,5f8a3e8f5f7a6814fc2df453,Nd(BRh)4,mp-973770,Yes,0.0,218.238,-4.43809,-4.42973,-0.0656651,100.0,10000.0,-20.5921,1300.0,10000.0,204168.0,204171.0,5.50372,5.49876,219098.0,100.0,100000000.0,218091.0,100.0,10000.0,95.1909,1300.0,100000000.0,95.5518,1300.0,100000000.0,1370050.0,1370100.0,489767.0,100.0,100000000.0,493872.0,100.0,10000.0,GGA,,,,,,,,
mp-334,5f8a3e8fbab262f42dde68c4,LaF3,mp-663585,No,6.0452,335.923,764.502,-896.872,1339.9,1300.0,10000.0,,,,4.75665,0.497143,2.8795,0.391232,734.534,100.0,100000000.0,,,,70.6427,400.0,100000000.0,,,,21.0951,0.698218,0.157024,900.0,10000.0,,,,GGA,15.9712,2.38931,22.7621,22.7621,82.082,42.8273,42.8273,160.591
mp-21511,5f8a3e90ac838c35c1892d97,K2NaInP2,mp-670997,No,1.0499,336.399,630.182,-275.542,1080.67,400.0,10000.0,-749.913,600.0,10000.0,19.6806,152.597,7.06472,11.5732,2360.64,100.0,100000000.0,11518.4,100.0,100000000.0,109.588,700.0,100000000.0,1436.28,800.0,100000000.0,82.4846,853.254,0.401953,100.0,10000.0,2.88215,100.0,10000.0,GGA,13.1123,0.666927,1.75839,36.9116,0.185279,0.17057,0.191288,0.19398
mp-554944,5f8a3e905f7a6814fc2df45c,TiSO5,mp-670779,No,2.1049,395.703,669.94,-625.439,1138.39,800.0,10000.0,-1214.37,800.0,10000.0,13.5919,21.7116,6.49097,10.655,1495.99,100.0,100000000.0,2174.03,100.0,100000000.0,138.413,800.0,100000000.0,249.575,700.0,100000000.0,51.5541,82.5131,0.269074,100.0,10000.0,0.623173,100.0,10000.0,GGA,7.17449,0.797465,10.2226,10.5034,31.1465,0.440852,44.4091,48.5895
mp-676319,5f8a3e90bab262f42dde68cd,Dy2Zr2O7,mp-741566,No,2.761,289.785,630.829,-440.776,1190.9,1100.0,10000.0,,,,25.974,40.2419,9.51011,7.80566,2838.17,100.0,100000000.0,,,,227.369,700.0,100000000.0,,,,154.994,218.648,0.557389,100.0,10000.0,,,,GGA,1.29595,0.861125,0.878377,2.14836,0.709431,0.617987,0.69388,0.816426
mp-974738,5f8a3e91bab262f42dde68d6,KSr3,mp-974793,Yes,0.0,233.051,-3.77417,-3.75182,22.1159,1300.0,100000000.0,,,,162584.0,162594.0,18.104,18.0267,167269.0,100.0,100000000.0,,,,80.1242,1300.0,100000000.0,,,,1104550.0,1104530.0,401203.0,100.0,100000000.0,,,,GGA,,,,,,,,
mp-3462,5f8a3e915f7a6814fc2df465,TmSnAu,mp-920201,Yes,0.0,74.6621,9.84143,5.50006,106.919,300.0,100000000.0,-105.989,300.0,100000000.0,5373.58,5367.83,0.520452,0.16238,34719.9,1300.0,100000000.0,34682.4,1300.0,100000000.0,107.756,300.0,100000000.0,99.6313,300.0,100000000.0,112202.0,112286.0,8330.22,100.0,10000000.0,7913.39,100.0,10000000.0,GGA,,,,,,,,
mp-773387,5f8a3e91ac838c35c1892da0,Li4Fe5Co3O16,mp-901134,Yes,0.0,257.604,2.53546,2.54416,58.7031,1300.0,10000.0,-1.73968,100.0,100000000.0,18873.3,18874.5,1.4737,1.47073,19228.5,100.0,10000.0,19311.8,100.0,100000000.0,26.814,1300.0,10000.0,26.814,1300.0,10000.0,129207.0,129204.0,46528.1,100.0,100000000.0,46812.6,100.0,10000.0,GGA+U,,,,,,,,
mp-6426,5f8a3e92bab262f42dde68df,Na2MgSiO4,mp-686872,No,3.7692,421.408,857.602,-384.587,1320.7,1200.0,10000.0,,,,1.87408,63.2641,1.28292,9.35112,289.098,100.0,100000000.0,,,,35.6809,200.0,100000000.0,,,,5.26021,362.122,0.0447188,100.0,10000.0,,,,GGA,97.5243,8.4144,12.9896,271.169,0.445715,0.429805,0.452609,0.454732
mp-761041,5f8a3e92ac838c35c1892da9,TiP2O7,mp-853928,No,2.73321,530.191,725.755,-706.734,1220.62,1000.0,10000.0,-1242.23,1000.0,10000.0,4.09881,5.64718,2.16125,2.83832,561.094,100.0,100000000.0,921.543,100.0,100000000.0,45.5956,400.0,100000000.0,59.0184,300.0,100000000.0,15.5763,25.4731,0.0943964,100.0,10000.0,0.134249,900.0,10000.0,GGA,7.4361,5.51643,6.23644,10.5554,5.37586,4.20269,4.31218,7.61272
mp-19581,5f8a3e925f7a6814fc2df46e,Mg3Cr2(SiO4)3,mp-819394,No,3.4551,806.075,648.997,-797.355,1170.97,1300.0,10000.0,-1244.27,1100.0,10000.0,10.5463,2.87333,4.44208,1.82679,1112.8,100.0,100000000.0,372.243,100.0,100000000.0,72.8349,400.0,100000000.0,27.691,1300.0,100000000.0,44.8674,11.606,0.218644,100.0,10000.0,0.0535585,100.0,10000.0,GGA+U,2.67196,2.67196,2.67196,2.67196,9.80722,9.80722,9.80722,9.80722
mp-19950,5f8a3e93bab262f42dde68e8,Dy2Ti3Si4,mp-940284,Yes,0.0,645.336,-22.2421,-22.2489,-14.7244,100.0,100000000.0,,,,33005.8,33010.5,18.3102,18.3261,41668.2,1300.0,10000.0,,,,39.3607,1300.0,10000.0,,,,267369.0,267361.0,76146.8,100.0,100000000.0,,,,GGA,,,,,,,,
mp-778680,5f8a3e945f7a6814fc2df477,Li5Mn8(BO3)8,mp-815926,No,0.577194,500.995,639.351,-625.851,997.686,200.0,10000.0,-998.422,200.0,10000.0,2.94443,2.01242,1.23086,0.821163,361.36,100.0,100000000.0,294.533,100.0,100000000.0,19.8373,500.0,100000000.0,11.8074,300.0,100000000.0,10.2533,5.11553,0.0557092,100.0,10000.0,0.0367224,100.0,10000.0,GGA+U,19.4906,4.25523,20.4853,33.7312,90.8078,6.13787,21.1682,245.117
mp-3307,5f8a3e94ac838c35c1892db2,BaSO4,mp-842537,No,4.4975,101.206,785.222,-417.348,1286.81,1300.0,10000.0,-1007.82,1300.0,10000.0,10.87,49.7467,6.70214,8.66482,1220.71,100.0,100000000.0,4898.51,100.0,100000000.0,182.151,700.0,100000000.0,908.709,900.0,100000000.0,42.8647,274.515,0.191607,100.0,10000.0,0.944235,100.0,10000.0,GGA,2.5924,2.5924,2.5924,2.5924,0.566458,0.566458,0.566458,0.566458
mp-558238,5f8a3e94bab262f42dde68f1,KEr2F7,mp-711055,No,6.9046,1236.34,759.207,-425.41,1256.92,1300.0,10000.0,,,,1.47131,47.44,0.832832,8.59691,221.322,100.0,100000000.0,,,,19.3153,200.0,100000000.0,,,,3.27683,290.159,0.0264343,100.0,10000.0,,,,GGA,,,,,,,,
mp-767302,5f8a3e95bab262f42dde68fa,Li2SiNiO4,mp-809612,No,3.4624,175.068,678.841,-800.246,1226.25,1300.0,10000.0,,,,4.95533,1.10831,2.26419,0.703584,521.711,100.0,100000000.0,,,,52.0808,900.0,100000000.0,,,,22.9996,3.24544,0.0926668,100.0,10000.0,,,,GGA+U,9.33867,3.87076,4.58557,19.5597,26.7263,19.2875,27.9237,32.9677
mp-775226,5f8a3e955f7a6814fc2df480,LiMn2(BO3)2,mp-814168,No,0.565398,492.273,712.539,-716.507,1080.96,200.0,10000.0,-1100.81,200.0,10000.0,1.31692,1.32287,0.668405,0.795728,455.925,1300.0,10000.0,487.316,1300.0,100000000.0,21.465,1300.0,10000.0,21.4649,1300.0,10000.0,3.52656,4.01117,0.0289748,200.0,10000.0,0.0211276,100.0,10000.0,GGA+U,27.2281,12.2952,29.695,39.6941,124.38,7.70107,172.349,193.089
mp-567685,5f8a3e95ac838c35c1892dbb,Er4InIr,mp-919024,Yes,0.0,622.994,-14.5334,-14.5381,-9.32239,200.0,100000000.0,-28.5328,800.0,100000000.0,24075.2,24079.0,5.08513,5.08925,30443.3,1300.0,10000.0,30544.6,1300.0,100000000.0,20.5631,900.0,10000.0,20.5631,900.0,10000.0,184172.0,184209.0,58241.4,100.0,10000.0,58201.8,100.0,100000000.0,GGA,,,,,,,,
mp-755323,5f8a3e96bab262f42dde6903,DyClO,mp-850333,No,5.1688,102.802,676.717,-454.235,1298.56,1300.0,10000.0,,,,18.3361,46.9164,8.42153,9.5898,2110.75,100.0,100000000.0,,,,260.228,1000.0,100000000.0,,,,114.442,345.209,0.36941,100.0,10000.0,,,,GGA,1.74352,1.26424,1.26424,2.70207,0.61258,0.54902,0.54902,0.739699
mp-974457,5f8a3e96ac838c35c1892dc4,Ru3I,mp-974496,Yes,0.0,63.0435,0.264799,0.262438,12.5882,1300.0,100000000.0,-0.942318,200.0,100000000.0,324068.0,324068.0,0.0227231,0.0223198,350709.0,1300.0,100000000.0,350416.0,1300.0,10000.0,55.5745,1300.0,100000000.0,55.4826,1300.0,100000000.0,2433070.0,2433020.0,799481.0,100.0,100000000.0,805122.0,100.0,10000.0,GGA,,,,,,,,
mp-20877,5f8a3e965f7a6814fc2df489,NbCoB2,mp-942429,Yes,0.0,154.832,10.4519,10.4386,11.0891,300.0,100000000.0,-10.6269,1300.0,100000000.0,78314.2,78307.8,12.5621,12.5317,102041.0,1300.0,10000.0,102080.0,1300.0,100000000.0,41.6464,1300.0,10000.0,41.6464,1300.0,10000.0,658328.0,658341.0,183924.0,100.0,10000.0,183535.0,100.0,100000000.0,GGA,,,,,,,,
mp-17562,5f8a3e97bab262f42dde690c,Sr3Sc(BO3)3,mp-710775,No,4.62711,404.402,779.857,-818.353,1261.81,1300.0,10000.0,,,,3.04681,1.70555,1.85085,1.15934,442.322,100.0,100000000.0,,,,45.7324,200.0,100000000.0,,,,7.96941,6.19763,0.0564195,100.0,10000.0,,,,GGA,9.53177,7.34644,10.6244,10.6244,17.466,12.1768,20.1105,20.1106
mp-4734,5f8a3e97ac838c35c1892dcd,NaPO3,mp-846123,No,4.967,545.849,745.931,-412.065,1277.43,1300.0,10000.0,-1001.97,1300.0,10000.0,2.53308,51.9364,1.46003,8.8246,345.255,100.0,100000000.0,5140.32,600.0,100000000.0,33.0052,300.0,100000000.0,1172.63,1300.0,100000000.0,7.8922,305.189,0.0515404,100.0,10000.0,1.10341,100.0,10000.0,GGA,46.3712,4.38261,31.4279,103.303,0.542773,0.532169,0.53926,0.556889
mp-773248,5f8a3e975f7a6814fc2df492,Li4NbFe3O8,mp-813051,No,2.5106,189.712,694.865,-645.486,1234.58,900.0,10000.0,-1212.05,1000.0,10000.0,1.10476,7.82978,0.544145,3.56718,224.615,100.0,100000000.0,862.838,100.0,100000000.0,11.1771,200.0,100000000.0,95.8959,700.0,100000000.0,2.42838,26.2074,0.0245114,300.0,10000.0,0.128479,100.0,10000.0,GGA+U,32.1994,15.9137,27.9133,52.7711,32.0044,1.26996,33.568,61.1753
mp-765977,5f8a3e98bab262f42dde6915,Li2Ni(PO3)5,mp-877590,Yes,0.098097,585.359,-14.3691,-14.3979,401.216,100.0,10000000.0,,,,278.045,278.508,11.9853,12.0023,916.298,1300.0,100000000.0,,,,11.9938,300.0,10000.0,,,,2818.71,2809.76,57.2521,100.0,10000000.0,,,,GGA,0.118814,0.0669747,0.109866,0.179601,0.118802,0.0667081,0.10993,0.179767
mp-761295,5f8a3e98ac838c35c1892dd6,MnCd6O8,mp-797491,No,0.1735,208.341,141.178,-247.605,844.026,100.0,10000.0,-509.989,100.0,10000.0,52.4521,170.193,1.04543,10.4342,7582.19,1300.0,10000.0,12979.2,100.0,100000000.0,266.411,600.0,100000000.0,1290.26,600.0,100000000.0,4734.94,2161.89,0.586875,100.0,10000.0,3.15182,100.0,10000.0,GGA+U,0.537241,0.537241,0.537241,0.537241,0.165573,0.165573,0.165573,0.165573
